Date,Price,Open,High,Low,Vol.,Change%,NYA INDEX
19-?.?.-25,56.25,56.1,56.38,55.9,4.69M,0.02%,"19,975.10"
16-?.?.-25,56.24,55.5,56.34,55.3,6.48M,1.52%,"19,934.10"
15-?.?.-25,55.4,54.79,55.4,54.52,5.84M,1.58%,"19,784.70"
14-?.?.-25,54.54,55.05,55.18,54.38,6.27M,-0.94%,"19,628.50"
13-?.?.-25,55.06,55.78,55.89,54.81,6.64M,-1.57%,"19,723.40"
12-?.?.-25,55.94,56.15,56.19,55.35,8.78M,-1.32%,"19,711.50"
9-?.?.-25,56.69,56.21,56.88,55.9,3.63M,0.78%,"19,319.20"
8-?.?.-25,56.25,56.7,56.81,56.2,4.86M,-0.86%,"19,314.20"
7-?.?.-25,56.74,56.8,57.23,56.58,6.82M,-0.09%,"19,262.40"
6-?.?.-25,56.79,56.88,57.55,56.37,5.65M,-0.26%,"19,182.20"
5-?.?.-25,56.94,56.96,57.35,56.75,4.39M,-0.04%,"19,303.20"
2-?.?.-25,56.96,57.6,57.7,56.79,4.29M,-0.37%,"19,386.70"
1-?.?.-25,57.17,57.7,57.88,57.04,4.31M,-1.19%,"19,049.80"
30-??.?.-25,57.86,57.56,58.06,56.96,8.00M,0.84%,"19,114.20"
29-??.?.-25,57.38,57.24,57.67,56.83,3.69M,0.24%,"19,089.20"
28-??.?.-25,57.24,56.81,57.37,56.42,3.79M,0.62%,"18,971.70"
25-??.?.-25,56.89,57.26,57.37,56.56,3.86M,-0.45%,"18,899.80"
24-??.?.-25,57.15,58.1,58.1,56.96,5.52M,-1.55%,"18,895.40"
23-??.?.-25,58.05,58.36,58.66,57.42,4.95M,-0.80%,"18,631.10"
22-??.?.-25,58.52,58.32,58.88,57.98,4.06M,0.97%,"18,455.10"
21-??.?.-25,57.96,58.15,58.69,57.15,4.41M,-0.62%,"18,032.40"
17-??.?.-25,58.32,57.32,58.62,57.2,5.11M,1.85%,"18,367.10"
16-??.?.-25,57.26,57,57.92,56.98,4.66M,0.44%,"18,245.70"
15-??.?.-25,57.01,56.43,57.13,56.14,4.99M,1.32%,"18,430.00"
14-??.?.-25,56.27,55.53,56.63,55.36,4.59M,1.90%,"18,432.20"
11-??.?.-25,55.22,54,55.35,53.65,6.52M,1.98%,"18,219.70"
10-??.?.-25,54.15,53.9,54.78,52.61,7.98M,0.31%,"17,890.60"
9-??.?.-25,53.98,51.5,54.37,50.71,10.57M,3.27%,"18,398.50"
8-??.?.-25,52.27,54.04,54.44,51.81,12.13M,-1.25%,"17,188.50"
7-??.?.-25,52.93,52.7,55.04,52.48,13.27M,-4.03%,"17,438.60"
4-??.?.-25,55.15,56.33,56.99,55.07,12.10M,-3.35%,"17,618.60"
3-??.?.-25,57.06,57.51,58.16,56.38,9.62M,-0.11%,"18,767.20"
2-??.?.-25,57.12,57.36,57.54,56.68,4.77M,-0.05%,"19,532.70"
1-??.?.-25,57.15,57.93,58.2,56.51,5.14M,-1.48%,"19,398.30"
31-??.?.-25,58.01,56.75,58.27,56.75,8.20M,2.47%,"19,395.90"
28-??.?.-25,56.61,56.4,56.74,55.98,3.50M,0.80%,"19,270.30"
27-??.?.-25,56.16,56.47,56.93,56.1,4.49M,-0.71%,"19,534.70"
26-??.?.-25,56.56,55.8,56.72,55.72,4.48M,1.64%,"19,585.80"
25-??.?.-25,55.65,56.33,56.45,55.51,6.72M,-1.12%,"19,678.40"
24-??.?.-25,56.28,55.9,56.46,55.75,4.70M,0.86%,"19,704.20"
21-??.?.-25,55.8,56.27,56.33,55.57,10.84M,-1.17%,"19,454.30"
20-??.?.-25,56.46,56.62,56.66,56.1,5.08M,0.04%,"19,537.30"
19-??.?.-25,56.44,56.96,57.03,56.28,6.04M,-0.91%,"19,581.30"
18-??.?.-25,56.96,56.99,57.18,56.6,3.71M,-0.04%,"19,421.60"
17-??.?.-25,56.98,56.95,57.37,56.81,3.84M,0.51%,"19,494.70"
14-??.?.-25,56.69,55.97,56.82,55.86,6.37M,1.49%,"19,231.30"
13-??.?.-25,55.86,56.5,57.45,55.8,5.82M,-0.90%,"18,875.50"
12-??.?.-25,56.37,56.5,56.72,55.88,7.06M,-0.60%,"19,051.60"
11-??.?.-25,56.71,58.5,58.77,56.23,7.48M,-3.04%,"19,052.10"
10-??.?.-25,58.49,58.75,60.39,58.22,7.58M,0.02%,"19,202.40"
7-??.?.-25,58.48,57.47,59.01,57.43,6.26M,2.01%,"19,573.10"
6-??.?.-25,57.33,57.86,58.27,56.73,7.13M,-1.34%,"19,506.30"
5-??.?.-25,58.11,57.34,58.26,57.09,5.37M,0.61%,"19,754.60"
4-??.?.-25,57.76,57.7,58.53,57.7,8.28M,0.36%,"19,495.60"
3-??.?.-25,57.55,56.68,57.64,56.63,5.86M,0.91%,"19,823.50"
